Entity_Orth,Entity_Label,Parts_of_Speech
Kbeswood,PERSON,NNP
"James "" n n",PERSON,NNP `` CC XX
Everett,PERSON,NNP
"Eldon """,PERSON,NNP ``
Lansing,GPE,NNP
"Herbert "" u",PERSON,NNP `` XX
Myresea,PERSON,NNP
"Clyde "" W W",PERSON,NNP `` NNP NNP
Moffitt,PERSON,NNP
Thomae W,ORG,NNP NNP
Dennison,ORG,NNP
"Eugene "" L a",PERSON,NNP `` NNP NNP
Leonard,PERSON,NNP SP
San Juan,GPE,NNP NNP
San Juan,GPE,NNP NNP
Indian,NORP,JJ
Post Office,ORG,NNP NNP
Tribe,PERSON,NNP
State,ORG,NNP
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Farmers,ORG,NNP
Aneth,GPE,NNP
Utah,GPE,NNP
Agency Headquarters,WORK_OF_ART,NNP NNPS
Tocito,GPE,NNP
Ford,ORG,NNP
Aneth,ORG,NNP
Toadlena,GPE,NNP
the year,DATE,DT NN
Indians,NORP,NNPS
this year,DATE,DT NN
Indians,NORP,NNPS
Juan Indian School,ORG,NNP NNP NNP
Distributiou,PERSON,NNP
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
fiscal year,DATE,SP JJ NN
Koho,PERSON,NNP
James Nave o,PERSON,NNP NNP NNP
Keetso,PERSON,NNP
Hubert fl,PERSON,NNP NNP
"Harvey "" n",PERSON,NNP `` CC
Mikeboy,PERSON,NNP
"Richard ""h n",PERSON,NNP `` NN RB
"Louis """,PERSON,NNP ``
Natonibega,PERSON,NNP
Peter,PERSON,NNP
Nataebega,PERSON,NNP
Carl,PERSON,NNP
"Natoniahahlozbega,01yde W",ORG,NNP NNP
Shoemaker,PERSON,NNP
Wallace,PERSON,NNP
Smith,PERSON,NNP
Frank,PERSON,NNP
Yazzie,PERSON,NNP
Freed,PERSON,NNP
Yazzie,ORG,NNP
"Harry "" n",PERSON,NNP `` CC
Yazzie,PERSON,NNP
Denetolaw,PERSON,NNP
Theodore W,PERSON,NNP NNP
Belonebega,PERSON,NNP
Baehabage,PERSON,NNP
Ruby,PRODUCT,NNP
Begay,PERSON,NNP
Bessie,PERSON,NNP
Begay,PERSON,NNP
