Erik,1
Letmer Woolen Compaan,1
1006,1
Nov. 1,1
1874-1900,1
Industrial School,5
Jose Byanuaba,1
Gilli,1
4 Incantation,1
the Iodel of,1
Sente Anne,1
Jemoz,1
about July lot,1
Inca,1
Samuel Eldodt,1
the 17th,1
Starr,1
Ben Xavier,1
the 28th ult,1
tomorrow,6
William Bell,1
N. M. has charge,1
Monday,3
Ramon 8onchoz,1
Album-mu,1
Rmenbor,1
11011,1
Ramo'n Sanchez,1
6272-2206-4066,1
the Sun Ildofonso,1
W. A. Mercer

Supt,1
Pringlo,1
Mount 01',1
14 1,1
Santn Fe,1
Luke M. Emu-son,1
Jnrunry 14,1904,1
Bah Cord,1
9100-01,1
the Bureau of Indian
Affairs,1
Jose Rios,1
Aloalde,1
Martgn,1
South 4th,1
WSW-Alanna,1
N. M.
Deer Sir:§,1
Ufiudu,1
Colorado,13
R. G. Building,1
Esther M. Dagenett,1
1..:'.LB'3,1
N. M.
Doar 81r:~,1
Marika,1
Jblez,1
N. M.,',2
ALIIIIOGD,1
Sia Day,1
Fort Shaw,1
Nealer,1
last spring,1
Purdy,1
May 1, 1905,1
Outink Agent,1
30 7458-2202-5256,1
three years,1
Albsrt,1
S. F. R'Iz'o,1
Sllth s..,1
E. G. Crittendon,1
New Hex,2
Doccnbor 16 ',1
Los Augol,1
the month of August,1
Jrzlning School,1
Esponoln,1
Julian Labito,1
Hitch 26 6,1
Albert Daeger,1
Grip Handle,1
111110,1
Murphy,3
K. Allan,1
April 8th,1
Ella P.1Dénnia,1
18th,1
Mexicofihy 3,1905,1
the 20th of June,1
Field Offices,1
the Omissioner sent-3,1
Hall,1
Puye,1
2-11,1
lew'lbxico,1
Louovillo,1
Guam For Eccent,1
Hay 22d,1
N» M.,1
12 years,1
March 31,1
New 3192:.,1
Moria,3
Mam Lu,1
Edith L.Rdnwold,1
N. 1.1,1
Culver,1
Grandaii,-,1
Thoma W.Voottor,2
Sento Domingo,4
Augustus Vigil,1
Espenola,2
Hook Set,1
Bond & 60,1
1'1u,1
J. B. Brown,1
Chen,1
N. 1..,1
Schilling,1
Juana G. Lugan,1
The Colorado Supply 00,1
N. M.
Deer Hr,1
Richard 19rr Bacan ',1
Santa fie,1
Albuquorquo,1
Barry,1
Ind1an,1
A. B. W,1
Ion Ildefoneo,1
Yfi 4entrul R'y,1
Alouquerque,1
the Office to,1
Chamberlain,1
Christisn,1
Bontos,1
Vicentle,1
April 19, 1996,1
Fiscai year ending June 30,1903,1
N. I.
Dlar,1
J. Q. Buidridge,1
440474,1
30 4732-2202-2580,1
Obligc,1
Santo Domingo Pueblo,2
Inuit,3
Sundaye,1
Sept. 5, 1906,1
Rwudo,1
Efiht Le,1
Cliff Dwellinga,1
Julv,1
Pedro Gajete,1
NoIbc-San,1
Louis,1
Oklu,1
Ruth 3.1.."th,1
Mt-n,1
